id,title,parent_cat_id
598,"Ceramic	 Glass and Vitrified Tiles",6
599,"Wash Basins	 Sanitaryware & Fittings",6
600,"PVC	 FRP	 HDPE & Other Plastic Pipes",6
601,"Brackets	 Holder & Hardware Fittings",6
602,Excavator and Earth Moving Machinery,6
603,Elevators & Escalators,6
604,"Faucets	 Water Taps and Bib Cocks",6
605,"Gate	 Grilles	 Fences & Railings",6
606,"PVC	 CPVC	 HDPE Water Pipe Fittings",6
607,"Lifting Hooks	 Chains & Clamps",6
608,Cement and Concrete,6
609,Building Panels & Cladding Materials,6
610,"Door	 Window Handles & Knockers",6
611,Prefabricated Houses & Structures,6
612,Scaffolding Pipes and Fittings,6
613,"Aluminum	 Brass	 Bronze Pipes",6
614,Bricks & Construction Aggregates,6
615,"Staircase	 Balusters and Stair Parts",6
616,Bathroom Accessories,6
617,Clamps and Clamping Equipment,6
618,"Gazebos	 Awnings	 Canopies & Sheds",6
619,"Door	 Window Frame	 Panel & Shutters",6
620,"Beams	 Purlins	 Frames and Girders",6
621,Fountains & Water Features,6
622,Curtain and Drapery Hardware,6
623,Sewerage and Drainage Products,6
624,Hardware: Hooks & Mounts,6
625,"Vinyl	 Plastic & Rubber Floor Tiles",6
626,Hardwood Flooring & Wooden Floor Tiles,6
627,Shower Panels & Accessories,6
628,"Door Skins	 Panels & Profile",6
629,"Acoustic Window	 Foam & Enclosures",6
630,"Geotextile	 Geogrids & Pond Liners",6
631,"Bath Tubs	 Jacuzzi & Hot Tubs",6
632,"Pipe Elbows	 Joints & Couplings",6
633,"Nails	 Fasteners	 Rivets & Shackles",6
634,"Granite	 Marble	 Sandstone & Others",6
635,"Door Lock	 Electronic Lock & Latches",6
636,"Carts	 Dollies & Trolleys",6
637,"Stained	 Etched & Laminated Glass",6
638,Surface Coating & Paint Equipment,6
639,"FRP Lining	 PU & Powder Coatings",6
640,Wire Mesh & Gratings,6
641,"Cobbles	 Pebbles & Pavings",6
642,Stone Tiles & Floorings,6
643,Apparel Fabrics & Dress Materials,7
644,"Ladies Dresses	 Apparels & Clothings",7
645,Industrial Uniforms & Safety Wear,7
646,"Cotton	 Wool Textiles & Fabrics",7
647,"Sarees	 Lehenga and Salwar Suits",7
648,"Men Shirts	 Jeans & Clothing",7
649,Unisex Clothing,7
650,Kids Dresses,7
651,Winter Wear & Accessories,7
652,"Socks	 Leggings & Stockings",7
653,Animal Clothing & Accessories,7
654,Commercial & Academic Uniforms,7
655,"Party	 Wedding	 Western	 Formal Wear",7
656,Undergarments & Inner Wear,7
657,Works Shoes & Uniform Shoes,7
658,"Cotton	 Khadi	 Other Fabric Clothing",7
659,Embroidered Fabric & Textiles,7
660,Infant & Toddlers Clothing,7
661,Leather Jackets and Garments,7
662,Gloves & Mittens,7
663,Embroidery Needles & Accessories,7
664,Embroidered Apparel & Garments,7
665,"Pashmina	 Silk & Cashmere Shawls",7
666,Umbrellas and Raincoats,7
667,Printed & Patchwork Clothing,7
668,Mannequins & Apparel Display,7
669,Yarns & Threads,7
670,Sports Wear & Athletic Accessories,7
671,"Towels	 Napkins & Handkerchieves",7
672,"Motifs	 Badges	 Emblems & Lanyards",7
673,"Cufflink	 Buttons	 Zippers & Buckles",7
674,"Sewing Threads	 Laces & Accessories",7
675,"Scarves	 Shawls	 Stoles	 Bandanas",7
676,"Hats	 Caps and Headwears",7
677,"Neckties	 Bow Ties & Tie Accessories",7
678,"Silk Apparel	 Clothings & Fabrics",7
679,Indoor Lights & Lighting Accessories,8
680,Home Appliances & Kitchen Appliances,8
681,Computer Hardware & Peripherals,8
682,"Street	 Flood and Commercial Lights",8
683,Office Automation Products & Devices,8
684,"Decorative Light	 Lamp & Lamp Shades",8
685,"Domestic Fans	 AC & Coolers",8
686,"Speakers	Earphones and Accessories",8
687,"Router	 Cables & Networking Devices",8
688,"Heater	 Thermostat & Heating Devices",8
689,"Computer PCI Cards	 Cables & Modules",8
690,Cleaning Machines & Equipments,8
691,Camera & Photography Equipments,8
692,Biometrics & Access Control Devices,8
693,"Freezers	 Refrigerators & Chillers",8
694,"CCTV	 Surveillance Systems and Parts",8
695,"Light Bulb	 Lamp & Lighting Fixtures",8
696,"Inverters	 UPS and Converters",8
697,"Adaptors	 Plugs & Sockets",8
698,"LED	 LCD	 Smart TV and Home Theatre",8
699,"CD	 DVD	 MP3 & Audio Video Players",8
700,Headphones and Microphones,8
701,"Lantern	 Chandeliers & Hanging Lamps",8
702,Computer Stationery Products,8
703,"Computer Hard Disk	 RAM & Pen Drives",8
704,Domestic RO Water Purifier & Filters,8
705,Interior and Exterior Lighting,8
706,Decorative and Party Lights,8
707,Hospital & Medical Lights,8
708,Measuring Equipments & Instruments,8
709,Electrical & Electronic Test Devices,8
710,Mobile Phone & Accessories,8
711,Batteries & Charge Storage Devices,8
712,Solar & Renewable Energy Products,8
713,Telecommunication Equipment & Parts,8
714,Safety Equipment & Systems,8
715,"Industrial Coolers	 Blowers & Fans",8
716,Automobile Electrical Components,8
717,"Laptops	 PC	 Mainframes & Computers",8
718,Security & Inspection Devices,8
719,"Antennas	 Wifi & Communication Tower",8
720,Calibrators & Monitoring Systems,8
721,Electronic Safes & Security Systems,8
722,"Adhesives	 Glue and Sealants",9
723,"Barcode	 Stickers & Luggage Tags",9
724,Packaging Films & Foils,9
725,Food Packaging Materials & Supplies,9
726,"Labels: Adhesive	 Fabric & Metal",9
727,"Crates	 Trays and Pallets",9
728,Packaging Caps & Seals,9
729,Plastic Containers  & Bottles,9
730,Strapping & Sealing Machines,9
731,Packaging & Lamination Machinery,9
732,Protective Packing Materials,9
733,"Packaging	 Laminated & Zip Bags",9
734,Adhesive & Pressure Sensitive Tapes,9
735,Form Fill & Seal Machines,9
736,Corrugated Packaging Boxes,9
737,Filling Machines & Plants,9
738,Bulk Bags & Sacks,9
739,Packaging Pouches & Envelopes,9
740,"Aluminium	Tin Can & Metal Containers",9
741,Marking and Stamping Machines,9
742,Wrapping & Banding Machines,9
743,"Packing Straps	 Clips & Supplies",9
744,"Storage Tanks	 Drums & Containers",9
745,Industrial Chemicals & Supplies,10
746,Dyes & Color Additives,10
747,Insecticides and Pesticides,10
748,Organic and Inorganic Solvents,10
749,PET Granules & Plastic Raw Material,10
750,Natural and Synthetic Resins,10
751,"Textile	 Dyeing & Finishing Chemical",10
752,"FRP Lining	 PU & Powder Coatings",10
753,Chemical Reagents & Catalysts,10
754,"Natural	 Industrial & Medical Gases",10
755,Petroleum and Petrochemical Products,10
756,Flavours & Aromatics,10
757,"Adhesives	 Glue and Sealants",10
758,Fertilizers and Soil Additives,10
759,Industrial Valves & Valve Fittings,11
760,"Gearbox	 Axle	 Sprocket & Gear Parts",11
761,"Nails	 Fasteners	 Rivets & Shackles",11
762,"Seals	 Oil Seals & Industrial Seals",11
763,Ball Bearings and Bearing Assemblies,11
764,Die Casting Mould & Moulding Tools,11
765,"Moulds	 Jigs and Casting Dies",11
766,"Alloy	 Metal and High Strength Bolts",11
767,"Alloy	 Metal and Industrial Nuts",11
768,Die Casting & Investment Castings,11
769,"Alloy	 Metal and Machine Screws",11
770,Air Springs & Compression Springs,11
771,Rubber Gaskets and Gasket Material,11
772,Nails & Pins,11
773,Sheet Metal & Turned Components,11
774,Ball Bearing Assemblies & Components,11
775,Bushings & Bushing Parts,11
776,"Alloy	 Metal and Machine Washers",11
777,Hydraulic & Pneumatic Cylinders,11
778,"Forgings	 Forging Parts & Supplies",11
779,Power Transmission Tools & Couplings,11
780,Hydraulic & Pneumatic Machines,11
781,"Clutch	 Clutch Parts & Accessories",11
782,Testing & Measuring Equipments,12
783,Laboratory & Lab Equipment,12
784,Measuring Equipments & Instruments,12
785,Electrical & Electronic Test Devices,12
786,Weighing Scales & Measuring Tapes,12
787,Measurement Gauges & Gauge Fittings,12
788,Analyzers & Analytical Instruments,12
789,Thermometers & Flowmeters,12
790,Plastic & Glass Labware,12
791,"Compass	 Telescopes & Survey Tools",12
792,"Autoclaves	 Sterilizers & Incubators",12
793,Metallurgical & Lab Microscopes,12
794,Weather & Meteorological Equipments,12
795,Calibrators & Monitoring Systems,12
796,Scientific Instruments & Devices,12
797,Cleanroom Equipment & Supplies,12
798,Sensors & Transducers,12
799,"VFD	 PLC	 HMI & Control Equipments",12
800,Living Room & Plastic Furniture,13
801,Retail Display Stands and Fixtures,13
802,"Wooden Sofa	 Wardrobes and Furniture",13
803,Metal Furniture Suppliers,13
804,"Bedroom	 Bathroom & Kids Furniture",13
805,Furniture Racks & Shelves,13
806,Kitchen & Dining Furniture,13
807,Office & Commercial Furniture,13
808,Outdoor and Garden Furniture,13
809,Hospital and Medical Furniture,13
810,Furniture Fittings & Hardware,13
811,Restaurant & Cafeteria Furniture,13
812,"Chairs	 Sofas & Seating Furniture",13
813,Doors and Windows,13
814,"Brackets	 Holder & Hardware Fittings",13
815,"Door	 Window Frame	 Panel & Shutters",13
816,Heavy & Light Duty Casters & Rollers,13
817,"Door Skins	 Panels & Profile",13
818,Trade Show & Exhibition Equipment,13
819,Automobile Interiors & Accessories,14
820,"Tyre	 Tube & Flaps",14
821,Automotive Repair Tools & Equipments,14
822,Automobile Body Coach Building,14
823,Commercial Vehicles & Three Wheelers,14
824,Automobile Fittings & Components,14
825,Commercial Vehicle Spare Parts,14
826,Brakes & Braking Systems,14
827,Automobile Electrical Components,14
828,Engine & Engine Spare Parts,14
829,Piston & Crankshaft Assemblies,14
830,Automotive Lights and Lighting Parts,14
831,Motorcycles and Cars,14
832,"Clutch	 Clutch Parts & Accessories",14
833,Fuel Injection System & Assemblies,14
834,Radiators & Accessories,14
835,Steering Parts & Components,14
836,Suspension System & Components,14
837,"Air Intakes	 Exhaust Systems & Parts",14
838,Batteries & Charge Storage Devices,14
839,"Oils	 Grease & Lubricants",14
840,"Gearbox	 Axle	 Sprocket & Gear Parts",14
841,"Seals	 Oil Seals & Industrial Seals",14
842,Ball Bearings and Bearing Assemblies,14
843,"Tractor	 Tractor Parts & Assemblies",14
844,Air Springs & Compression Springs,14
845,Rubber Gaskets and Gasket Material,14
846,Power Transmission Tools & Couplings,14
